Record Type,Symbol,Plan Type,Quantity,Date Acquired,Date Acquired (Wash Sale Toggle = On),Acquisition Cost,Acquisition Cost Per Share,Ordinary Income Recognized,Ordinary Income Recognized Per Share,Adjusted Cost Basis,Adjusted Cost Basis Per Share,Date Sold,Total Proceeds,Proceeds Per Share,Deferred Loss,Gain/Loss,Gain/Loss (Wash Sale Toggle = On),Adjusted Gain/Loss,Adjusted Gain (Loss) Per Share,Capital Gains Status,Wash Sale Adjusted Capital Gains Status,Total Wash Sale Adjustment Amount,Wash Sale Adjustment Amount Per Share,Total Wash Sale Adjusted Cost Basis,Wash Sale Adjusted Cost Basis Per Share,Total Wash Sale Adjusted Gain/Loss,Wash Sale Adjusted Gain/Loss Per Share,Order Type,Covered Status,Qualified Plan?,Disposition Type,Type,Grant Date,Grant Date FMV,Discount Amount,Purchase Date,Purchase Date Fair Mkt. Value,Purchase Price,Grant Number,83(b) Election,Vest Date,Vest Date FMV,Exercise Date,Exercise Date FMV,Grant Price,Order Number
Summary,,,1530,,,,,,,,,,,,,"$244,557.70","$244,557.70","$244,557.70",,,,,,,,"$244,557.70",,,,,,,,,,,,,,,,,,,,
Sell,AVGO,OSPS,85.34,02/28/2022,02/28/2022,"$6,481.80",$75.95,$0.00,$0.00,"$6,481.80",$75.95,11/07/2024,"$15,723.75",$184.25,$0.00,"$9,241.95","$9,241.95","$9,241.95",$108.30,Long,Long,$0.00,$0.00,"$6,481.80",$75.95,"$9,241.95",$108.30,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,75.95266,86965787
Sell,AVGO,OSPS,7.87,05/01/2022,05/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,450.04",$184.25,$0.00,"$1,450.04","$1,450.04","$1,450.04",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,450.04",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,42.02,05/01/2022,05/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,742.11",$184.25,$0.00,"$7,742.11","$7,742.11","$7,742.11",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,742.11",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,10.5,06/01/2022,06/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,934.61",$184.25,$0.00,"$1,934.61","$1,934.61","$1,934.61",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,934.61",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,9.19,08/01/2022,08/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,693.24",$184.25,$0.00,"$1,693.24","$1,693.24","$1,693.24",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,693.24",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,99.78,08/31/2022,08/31/2022,"$7,487.52",$75.04,$0.00,$0.00,"$7,487.52",$75.04,11/07/2024,"$18,384.31",$184.25,$0.00,"$10,896.79","$10,896.79","$10,896.79",$109.21,Long,Long,$0.00,$0.00,"$7,487.52",$75.04,"$10,896.79",$109.21,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,75.040289,86965787
Sell,AVGO,OSPS,45.95,11/01/2022,11/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$8,466.21",$184.25,$0.00,"$8,466.21","$8,466.21","$8,466.21",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$8,466.21",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,11/01/2022,11/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,11.82,12/01/2022,12/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,177.81",$184.25,$0.00,"$2,177.81","$2,177.81","$2,177.81",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,177.81",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.87,02/01/2023,02/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,450.04",$184.25,$0.00,"$1,450.04","$1,450.04","$1,450.04",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,450.04",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,45.96,02/01/2023,02/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$8,468.05",$184.25,$0.00,"$8,468.05","$8,468.05","$8,468.05",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$8,468.05",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00212387_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,152.29,03/01/2023,03/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$28,059.19",$184.25,$0.00,"$28,059.19","$28,059.19","$28,059.19",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$28,059.19",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00196328_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,47.27,05/01/2023,05/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$8,709.42",$184.25,$0.00,"$8,709.42","$8,709.42","$8,709.42",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$8,709.42",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00212387_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,42.01,05/01/2023,05/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,740.27",$184.25,$0.00,"$7,740.27","$7,740.27","$7,740.27",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,740.27",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,05/01/2023,05/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,27.57,06/01/2023,06/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$5,079.73",$184.25,$0.00,"$5,079.73","$5,079.73","$5,079.73",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$5,079.73",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00196328_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,11.81,06/01/2023,06/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,175.97",$184.25,$0.00,"$2,175.97","$2,175.97","$2,175.97",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,175.97",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,49.89,08/01/2023,08/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$9,192.15",$184.25,$0.00,"$9,192.15","$9,192.15","$9,192.15",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$9,192.15",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00212387_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,08/01/2023,08/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,26.26,09/01/2023,09/01/2023,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$4,838.36",$184.25,$0.00,"$4,838.36","$4,838.36","$4,838.36",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$4,838.36",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00196328_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,24.1,05/01/2019,05/01/2019,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$4,440.39",$184.25,$0.00,"$4,440.39","$4,440.39","$4,440.39",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$4,440.39",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM084456_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,38.07,07/01/2019,07/01/2019,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,014.33",$184.25,$0.00,"$7,014.33","$7,014.33","$7,014.33",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,014.33",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM095332_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,76.15,08/31/2019,08/31/2019,"$6,011.13",$78.94,$0.00,$0.00,"$6,011.13",$78.94,11/07/2024,"$14,030.51",$184.25,$0.00,"$8,019.38","$8,019.38","$8,019.38",$105.31,Long,Long,$0.00,$0.00,"$6,011.13",$78.94,"$8,019.38",$105.31,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,78.938017,86965787
Sell,AVGO,OSPS,27.57,11/01/2019,11/01/2019,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$5,079.73",$184.25,$0.00,"$5,079.73","$5,079.73","$5,079.73",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$5,079.73",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM084456_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,34.14,01/01/2020,01/01/2020,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$6,290.24",$184.25,$0.00,"$6,290.24","$6,290.24","$6,290.24",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$6,290.24",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM095332_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,15.75,02/01/2020,02/01/2020,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,901.91",$184.25,$0.00,"$2,901.91","$2,901.91","$2,901.91",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,901.91",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00121135_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,26.26,05/01/2020,05/01/2020,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$4,838.37",$184.25,$0.00,"$4,838.37","$4,838.37","$4,838.37",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$4,838.37",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM084456_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,15.76,06/01/2020,06/01/2020,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,903.75",$184.25,$0.00,"$2,903.75","$2,903.75","$2,903.75",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,903.75",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,34.13,07/01/2020,07/01/2020,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$6,288.40",$184.25,$0.00,"$6,288.40","$6,288.40","$6,288.40",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$6,288.40",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM095332_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,90.59,08/31/2020,08/31/2020,"$5,924.36",$65.40,$0.00,$0.00,"$5,924.36",$65.40,11/07/2024,"$16,691.06",$184.25,$0.00,"$10,766.70","$10,766.70","$10,766.70",$118.85,Long,Long,$0.00,$0.00,"$5,924.36",$65.40,"$10,766.70",$118.85,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,65.397505,86965787
Sell,AVGO,OSPS,7.88,12/01/2020,12/01/2020,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.87",$184.25,$0.00,"$1,451.87","$1,451.87","$1,451.87",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.87",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,34.13,01/01/2021,01/01/2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$6,288.40",$184.25,$0.00,"$6,288.40","$6,288.40","$6,288.40",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$6,288.40",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM095332_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,77.47,02/28/2021,02/28/2021,"$5,065.76",$65.39,$0.00,$0.00,"$5,065.76",$65.39,11/07/2024,"$14,273.72",$184.25,$0.00,"$9,207.96","$9,207.96","$9,207.96",$118.86,Long,Long,$0.00,$0.00,"$5,065.76",$65.39,"$9,207.96",$118.86,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,65.389957,86965787
Sell,AVGO,OSPS,70.89,05/01/2021,05/01/2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$13,061.37",$184.25,$0.00,"$13,061.37","$13,061.37","$13,061.37",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$13,061.37",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,7.88,06/01/2021,06/01/2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$1,451.88",$184.25,$0.00,"$1,451.88","$1,451.88","$1,451.88",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$1,451.88",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,00131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,38.07,07/01/2021,07/01/2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$7,014.33",$184.25,$0.00,"$7,014.33","$7,014.33","$7,014.33",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$7,014.33",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,VM095332_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,81.4,08/31/2021,08/31/2021,"$6,371.74",$78.28,$0.00,$0.00,"$6,371.74",$78.28,11/07/2024,"$14,997.82",$184.25,$0.00,"$8,626.08","$8,626.08","$8,626.08",$105.97,Long,Long,$0.00,$0.00,"$6,371.74",$78.28,"$8,626.08",$105.97,Sell OSPS,,,--,--,--,0,0,--,0.0,0,2007_CA,--,--,0at1900,--,0,78.276904,86965787
Sell,AVGO,OSPS,47.27,11/11/2021,11/11/2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$8,709.42",$184.25,$0.00,"$8,709.42","$8,709.42","$8,709.42",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$8,709.42",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD157249_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,11.81,12/01/2021,12/01/2021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$2,175.97",$184.25,$0.00,"$2,175.97","$2,175.97","$2,175.97",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$2,175.97",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD131301_CA,--,--,0at1900,--,0,0,86965787
Sell,AVGO,OSPS,23.64,02/01/2022,02/01/2022,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/07/2024,"$4,355.64",$184.25,$0.00,"$4,355.64","$4,355.64","$4,355.64",$184.25,Long,Long,$0.00,$0.00,$0.00,$0.00,"$4,355.64",$184.25,Sell OSPS,,,--,--,--,0,0,--,0.0,0,SD180828_CA,--,--,0at1900,--,0,0,86965787
